,id,id_offers,miasto,dzielnica,ulica,tytul,powierzchnia,cena,cena_metr,liczba_pokoi,rynek,zabudowa,pietro,liczba_pieter,ogrzewanie,rok_budowy,stan_wykonczenia,forma_wlasnosci,numer_oferty,teren_zamkniety,balkon,ogrodek,garaz_miejsce,winda,piwnica,monitoring_ochrona,latitude,longitude,czas_auto,dystans_auto,czas_zbiorowy,dystans_zbiorowy
4390,4391,4810,Sopot,Dolny,W³adys³awa £okietka,Atrakcyjna Cena -Dobra Inwestycja.,95.96,1160000,12088.0,4,wtorny,apartamentowiec,1,2.0,miejskie,2004.0,do_zamieszkania,pelna_wlasnosc,60768419,1,1,0,0,0,0,1,54.43007309999999,18.5739192,461.0,4024.0,1654.0,4995.0
4391,4392,4811,Gdañsk,Wrzeszcz,Henryka Rodakowskiego,Mieszkanie Blisko Ug z Widokiem na Morze,36.0,327000,9083.0,2,wtorny,,8,8.0,,,,,60768138,0,0,0,0,0,0,0,54.38691439999999,18.5701332,520.0,3167.0,1137.0,2781.0
4392,4393,4812,Gdynia,Pogórze,Teodora Œliwiñskiego,"2 pokoje, nowe budownictwo, Osiedle Morskie",48.18,399000,8281.0,2,wtorny,blok,2,4.0,miejskie,2010.0,do_zamieszkania,pelna_wlasnosc,60767862,0,0,0,0,0,0,0,54.56583730000001,18.4897616,1891.0,26486.0,3890.0,22571.0
4393,4394,4813,Gdañsk,Ujeœcisko-£ostowice,Starogardzka,Okazja! 4 pokojowe mieszkanie w Gdañsku 5700/m2,74.28,423396,5700.0,4,pierwotny,,1,4.0,,2021.0,,,60767292,0,0,0,0,0,0,0,54.30506920000001,18.612508300000002,1536.0,14761.0,3159.0,16392.0
4394,4395,4814,Gdañsk,Œródmieœcie,,Mieszkanie 3 - pokojowe Gdañsk Angielska Grobla,49.0,440000,8980.0,3,wtorny,blok,3,4.0,miejskie,1970.0,do_remontu,pelna_wlasnosc,60767081,0,1,0,0,0,1,0,,,884.0,8304.0,1362.0,9195.0
4396,4397,4816,Gdañsk,Œródmieœcie,œw. Barbary,"Inwestycja w samym sercu Gdañska, nad Mot³awa!!!",66.64,899000,13490.0,3,pierwotny,apartamentowiec,6,6.0,miejskie,2019.0,do_wykonczenia,pelna_wlasnosc,60766758,0,0,0,0,1,0,1,54.34794059999999,18.6638597,1262.0,10517.0,2857.0,9961.0
4397,4398,4817,Gdañsk,Siedlce,ul. Zakopiañska,Mieszkanie Gdañsk Siedlce ul.Zakopiañska,51.0,375000,7353.0,3,wtorny,blok,3,3.0,miejskie,1960.0,do_zamieszkania,spoldzielcze_wl._z_KW,60766596,0,0,0,0,0,1,0,54.35051239999999,18.6253111,1055.0,9034.0,2408.0,10123.0
4398,4399,4818,Gdañsk,Przymorze,Szczeciñska,2 pokojowy apartament Gdañsk Przymorze. Skm.,50.0,595000,11900.0,2,wtorny,apartamentowiec,2,3.0,miejskie,2007.0,do_zamieszkania,pelna_wlasnosc,60933757,1,1,0,0,0,0,1,54.402235499999996,18.5814926,241.0,1304.0,870.0,1111.0
4399,4400,4819,Gdynia,Chwarzno-Wiczlino,ul. Stanis³awa Filipkowskiego,Komfortowe 3-pokojowe mieszkanie z ogrodem w Gdyni,70.0,719000,10271.0,3,wtorny,blok,parter,3.0,miejskie,2014.0,do_zamieszkania,spoldzielcze_wl._z_KW,60866117,0,0,1,0,1,1,1,54.4866257,18.4272952,1606.0,20268.0,3937.0,23048.0
4400,4401,4820,Gdañsk,¯abianka,Pomorska,"¯abianka/ 4 Pokoje/ 1,8 km Od Morza",77.0,689000,8948.0,4,wtorny,blok,3,10.0,miejskie,1991.0,do_zamieszkania,spoldzielcze_wl._z_KW,60651497,0,1,0,0,1,1,0,54.41910069999999,18.5811652,410.0,2749.0,948.0,3169.0
