,id,id_offers,miasto,dzielnica,ulica,tytul,powierzchnia,cena,cena_metr,liczba_pokoi,rynek,zabudowa,pietro,liczba_pieter,material_budynku,okna,ogrzewanie,rok_budowy,stan_wykonczenia,czynsz,forma_wlasnosci,numer_oferty,teren_zamkniety,balkon,ogrodek,garaz_miejsce,winda,piwnica,monitoring_ochrona,latitude,longitude
20,21,24,Sopot,Dolny,W³adys³awa £okietka,Idealne mieszkanie w po¿¹danej czêœci Sopotu,79.34,1190000,14999.0,3,wtorny,,1,3.0,,,,2010.0,do_zamieszkania,,,60955333,0,1,0,0,0,0,0,54.43007309999999,18.5739192
21,22,25,Gdynia,Œródmieœcie,ul. Arkadiusza Rybickiego,Luksusowy apartament w Gdyñskiej Marinie - C.4.1,50.62,1513538,29900.0,2,wtorny,apartamentowiec,4,4.0,zelbet,aluminiowe,miejskie,2020.0,do_wykonczenia,,pelna_wlasnosc,60960303,0,1,0,0,1,1,1,54.52259309999999,18.5532205
22,23,28,Gdañsk,Œródmieœcie,ul. £¹kowa,Du¿e mieszkanie na Dolnym Mieœcie,98.16,800000,8150.0,4,wtorny,kamienica,parter,3.0,cegla,plastikowe,miejskie,1802.0,do_remontu,750.0,pelna_wlasnosc,60939640,0,1,1,0,0,1,0,54.34377010000001,18.6626568
23,24,29,Sopot,Kamienny Potok,ul. Józefa Kraszewskiego,Mieszkanie dwupokojowe z wyposa¿eniem Sopot,39.5,550000,13924.0,2,wtorny,kamienica,2,2.0,cegla,plastikowe,gazowe,,do_zamieszkania,300.0,pelna_wlasnosc,60926360,0,0,0,0,0,1,0,54.4541014,18.550871
24,25,30,Gdañsk,BrzeŸno,al. gen. Józefa Hallera,Super lokalizacja z Widokiem na Morze 0%pcc,59.0,699000,11847.0,3,wtorny,apartamentowiec,9,12.0,beton,,miejskie,2019.0,do_zamieszkania,670.0,pelna_wlasnosc,60721070,1,0,0,0,1,0,1,54.3920754,18.6225242
25,26,33,Gdynia,Œródmieœcie,ul. Arkadiusza Rybickiego,Luksusowy apartament w Gdyñskiej Marinie - A.3.7,30.62,609338,19900.0,1,wtorny,apartamentowiec,3,4.0,zelbet,aluminiowe,miejskie,2020.0,do_wykonczenia,,pelna_wlasnosc,60960277,0,1,0,0,1,1,1,54.52259309999999,18.5532205
26,27,34,Gdañsk,Œródmieœcie,ul. Grobla I,Urokliwe dwa pokoje w samym sercu Starego Miasta,42.0,559000,13310.0,2,wtorny,kamienica,4,,,,miejskie,1968.0,do_zamieszkania,,,60902335,0,0,0,0,0,1,0,54.3512339,18.6539181
27,28,35,Gdynia,Œródmieœcie,ul. Arkadiusza Rybickiego,Luksusowy apartament w Gdyñskiej Marinie - A.3.6,30.72,611328,19900.0,1,wtorny,apartamentowiec,3,4.0,,aluminiowe,miejskie,2020.0,do_wykonczenia,,pelna_wlasnosc,60960259,0,1,0,0,1,1,1,54.52259309999999,18.5532205
28,29,36,Gdynia,Œródmieœcie,ul. Arkadiusza Rybickiego,Luksusowy apartament w Gdyñskiej Marinie - A.3.5,30.73,611527,19900.0,1,wtorny,apartamentowiec,3,4.0,zelbet,aluminiowe,miejskie,2020.0,do_wykonczenia,,pelna_wlasnosc,60960224,0,1,0,0,1,1,1,54.52259309999999,18.5532205
29,30,37,Gdañsk,Jelitkowo,Wypoczynkowa,Apartament przy plazy w Jelitkowie-Fv Vat,39.0,999000,25615.0,2,wtorny,apartamentowiec,2,2.0,,,miejskie,2019.0,,400.0,pelna_wlasnosc,60960194,1,1,0,0,1,0,1,54.4168917,18.6121412
30,31,38,Sopot,Dolny,ul. Bohaterów Monte Cassino,Apartament w samym sercu Sopotu,93.0,1350000,14516.0,4,wtorny,kamienica,1,2.0,cegla,,gazowe,,do_zamieszkania,,pelna_wlasnosc,60960099,1,0,0,0,0,1,0,54.4434893,18.5645864
31,32,39,Gdynia,Œródmieœcie,Antoniego Abrahama,"Centrum Gdyni z du¿ym potencja³em, dobra lokata!",54.83,495000,9028.0,3,wtorny,blok,5,5.0,cegla,,miejskie,1960.0,do_zamieszkania,500.0,pelna_wlasnosc,60960039,0,1,0,0,1,1,0,54.5161674,18.5397435
32,33,40,Gdañsk,,,"Mieszkanie gotowe do odbioru,",76.6,491000,6410.0,4,pierwotny,apartamentowiec,1,4.0,inne,,miejskie,,do_wykonczenia,,pelna_wlasnosc,60959976,1,0,0,0,1,0,0,,
33,34,41,Sopot,Dolny,,Dwa mieszkania w jednym. Trzypokoje Sopot Haffnera,67.0,990168,14779.0,3,wtorny,kamienica,parter,1.0,cegla,,gazowe,,do_zamieszkania,,pelna_wlasnosc,60959952,0,0,1,0,0,0,0,,
34,35,42,Gdañsk,Zaspa,Jana Paw³a II,Piêkne mieszkanie- Gdañsk Zaspa- Nowe Osiedle!,48.7,559000,11478.0,2,wtorny,apartamentowiec,3,10.0,,,miejskie,2012.0,do_zamieszkania,450.0,pelna_wlasnosc,60959843,1,0,0,0,1,0,1,54.3975979,18.605117
35,36,43,Gdynia,Oksywie,Czwartaków,Œliczne 3 pokojowe mieszkanie szuka w³aœciciela!,53.5,374446,6999.0,3,wtorny,,2,2.0,,,,1955.0,do_zamieszkania,550.0,pelna_wlasnosc,60094630,0,0,0,0,0,1,0,54.5502084,18.5418839
36,37,44,Gdañsk,Wrzeszcz,gen. Józefa Wybickiego,"Twoja oaza w centrum miasta- 3 pokoje, Wrzeszcz!",42.7,520000,12178.0,3,wtorny,kamienica,parter,4.0,cegla,,elektryczne,1950.0,do_zamieszkania,660.0,pelna_wlasnosc,60959745,0,0,1,0,0,1,0,54.3848904,18.6105368
37,38,45,Gdañsk,Che³m,ul. Kazimierza Wielkiego,"Atrakcyjne mieszkanie w Gdañsku 60,32m2",60.32,419000,6946.0,3,wtorny,kamienica,2,3.0,,plastikowe,miejskie,,do_zamieszkania,,pelna_wlasnosc,60896336,1,1,0,0,0,1,1,54.29940970000001,18.609141
38,39,46,Gdañsk,Ujeœcisko-£ostowice,£ostowice,Szybki odbiór - Wysoki standard - S³oneczne,46.5,326079,7012.0,2,wtorny,blok,3,3.0,,,miejskie,2019.0,do_wykonczenia,,pelna_wlasnosc,60959544,1,1,0,0,1,0,1,54.3124404,18.5955531
